fixture_id,team_id,manager_id,formation
1208121,47,548,4-3-3
1208121,66,18,4-2-3-1
1208122,39,18151,3-4-2-1
1208122,52,1534,3-4-2-1
1314297,42,7248,4-3-3
1314297,52,1534,3-4-2-1
1299365,562,4669,5-4-1
1299365,49,12629,3-3-1-3
1299386,49,12629,4-2-3-1
1299386,652,1563,3-5-2
1299134,33,1993,4-2-3-1
1299134,415,6671,4-2-3-1
1298640,40,2006,4-2-3-1
1298640,48,1594,4-2-3-1
1208173,35,2108,4-2-3-1
1208173,48,1594,4-1-4-1
1314296,47,548,4-2-3-1
1314296,33,4720,3-4-2-1
1314298,34,5,4-3-3
1314298,55,90,3-4-2-1
1314299,41,600,5-4-1
1314299,40,2006,4-3-3
1208064,36,10,4-2-3-1
1208064,34,5,4-3-3
1208065,46,98,4-2-3-1
1208065,45,7,4-2-3-1
1208066,40,2006,4-2-3-1
1208066,35,2108,4-2-3-1
1208067,50,4,4-3-3
1208067,42,7248,4-4-2
1208192,48,1594,4-1-4-1
1208192,51,19253,4-2-3-1
1208068,41,6025,4-2-3-1
1208068,57,16556,4-2-3-1
1208069,47,548,4-3-3
1208069,55,90,5-3-2
1208070,48,1594,3-4-3
1208070,49,12629,4-2-3-1
