fixture_id,team_id,player_id,minutes,rating,captain,offsides,total_shots,shots_on,goals_scored,goals_conceded,assists,saves,passes_attempted,passes_completed,key_passes,tackles,blocks,interceptions,duels_total,duels_won,dribbles_attempted,dribbles_completed,dribbled_past,fouls_drawn,fouls_committed,yellow_cards,red_cards,penalties_won,penalties_committed,penalties_scored,penalties_missed,penalties_saved
1208142,41,19719,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208142,41,19587,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208142,41,199837,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208142,41,19485,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208142,40,281,90,7.2,False,0,0,0,0,2,0,3,19,14,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
1208142,40,180317,90,6.7,False,0,2,1,0,0,0,0,45,36,0,2,0,0,9,4,2,1,2,1,1,1,0,0,0,0,0,0
1208142,40,1145,90,6.2,False,0,0,0,0,0,0,0,71,66,0,1,0,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0
1208142,40,290,90,6.9,True,0,0,0,0,0,0,0,89,80,0,0,0,2,4,3,0,0,0,1,0,0,0,0,0,0,0,0
1208142,40,289,90,7.2,False,0,0,0,0,0,0,0,83,76,5,2,0,0,6,2,1,0,2,0,1,0,0,0,1,0,0,0
1208142,40,542,90,7.9,False,0,1,0,0,0,1,0,83,77,3,1,0,2,7,5,2,2,1,2,0,0,0,0,0,0,0,0
1208142,40,293,62,6.9,False,0,1,1,0,0,0,0,58,58,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0
1208142,40,306,90,8.3,False,1,7,4,2,0,0,0,28,21,1,0,0,1,8,4,3,2,0,2,1,1,0,0,0,1,0,0
1208142,40,1096,90,8.9,False,0,3,2,1,0,0,0,48,41,3,4,0,1,8,6,2,2,0,0,2,0,0,0,0,0,0,0
1208142,40,247,62,7.7,False,0,1,1,0,0,0,0,29,27,1,0,0,1,4,3,2,2,0,1,1,1,0,0,0,0,0,0
1208142,40,51617,89,6.9,False,0,1,1,0,0,0,0,15,10,1,1,0,0,9,2,1,0,0,1,1,0,0,0,0,0,0,0
1208142,40,6716,28,7.0,False,0,1,0,0,0,0,0,16,12,1,3,0,0,6,3,0,0,2,0,0,0,0,0,0,0,0,0
1208142,40,2489,28,6.6,False,0,1,1,0,0,0,0,14,11,2,1,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
1208142,40,8500,9,6.6,False,0,0,0,0,0,0,0,2,2,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0
1208142,40,162687,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208142,40,180316,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208142,40,284,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208142,40,158698,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208142,40,162590,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208142,40,19035,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,616,90,7.0,False,0,0,0,0,1,0,3,27,14,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0
1208138,57,19182,90,6.6,False,0,0,0,0,0,0,0,53,45,0,1,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0
1208138,57,17597,90,7.7,False,0,0,0,0,0,0,0,62,50,0,4,1,2,10,10,0,0,0,1,0,0,0,0,0,0,0,0
1208138,57,20457,90,6.9,False,0,0,0,0,0,0,0,52,46,0,1,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0
1208138,57,19119,90,6.3,False,0,0,0,0,0,0,0,16,12,1,1,0,0,6,1,0,0,2,0,2,0,0,0,0,0,0,0
1208138,57,19558,90,7.2,True,0,0,0,0,0,0,0,71,67,1,0,0,2,9,4,1,1,1,2,2,0,0,0,0,0,0,0
1208138,57,15797,65,6.6,False,0,1,0,0,0,0,0,37,33,0,0,0,0,6,2,1,1,1,1,1,0,0,0,0,0,0,0
1208138,57,20089,82,6.6,False,0,0,0,0,0,1,0,20,15,3,0,0,0,5,1,3,1,0,0,0,0,0,0,0,0,0,0
1208138,57,284428,90,7.3,False,0,2,2,1,0,0,0,42,36,1,4,0,0,14,7,4,2,0,1,2,0,0,0,0,0,0,0
1208138,57,17579,65,6.9,False,0,2,1,0,0,0,0,9,6,0,2,0,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0
1208138,57,161948,81,5.9,False,0,3,2,0,0,0,0,10,8,0,0,0,0,10,2,2,0,1,1,2,0,0,0,0,0,0,0
1208138,57,18397,25,6.6,False,0,0,0,0,0,0,0,9,7,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,19136,25,6.9,False,0,0,0,0,0,0,0,5,3,1,1,0,0,5,3,0,0,0,2,0,0,0,0,0,0,0,0
1208138,57,299813,9,6.3,False,0,0,0,0,0,0,0,4,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,20007,8,6.2,False,0,1,1,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,19541,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,138836,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,17714,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,19152,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,57,2752,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,33,526,90,7.2,False,0,0,0,0,1,0,5,47,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,33,545,90,7.3,False,0,0,0,0,0,0,0,115,105,1,3,0,1,16,11,3,2,0,1,2,0,0,0,0,0,0,0
1208138,33,532,90,6.9,False,0,0,0,0,0,0,0,81,80,0,0,1,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0
1208138,33,18772,56,6.7,False,0,0,0,0,0,0,0,52,47,0,0,0,3,7,3,0,0,1,3,3,0,0,0,0,0,0,0
1208138,33,157997,90,7.3,False,0,1,1,0,0,1,0,44,40,2,0,0,0,8,5,5,2,0,2,0,0,0,0,0,0,0,0
1208138,33,747,56,6.3,False,0,0,0,0,0,0,0,24,17,1,1,0,0,5,3,0,0,2,1,0,0,0,0,0,0,0,0
1208138,33,174,68,6.9,False,0,1,0,0,0,0,0,40,32,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1208138,33,886,90,7.3,False,0,1,1,0,0,0,0,50,36,0,4,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1208138,33,1485,90,7.6,True,0,2,0,0,0,0,0,53,49,3,1,0,1,10,5,3,1,0,1,2,0,0,0,0,0,0,0
1208138,33,284324,86,6.2,False,0,2,1,0,0,0,0,27,24,0,1,0,0,11,3,1,0,2,2,1,0,0,0,0,0,0,0
1208138,33,909,68,7.3,False,1,1,1,1,0,0,0,10,8,1,1,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0
1208138,33,891,34,6.9,False,0,0,0,0,0,0,0,59,52,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1208138,33,51494,34,6.9,False,0,0,0,0,0,0,0,27,25,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1208138,33,288006,22,6.7,False,0,0,0,0,0,0,0,4,3,1,0,0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0
1208138,33,70100,22,6.3,False,0,1,0,0,0,0,0,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,33,19220,8,6.5,False,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1208138,33,50132,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,33,37145,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,33,284322,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208138,33,9971,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208141,34,18911,90,6.9,False,0,0,0,0,2,0,4,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208141,34,158694,90,6.9,False,0,0,0,0,0,0,0,45,40,2,3,0,0,10,5,3,1,0,0,0,0,0,0,0,0,0,0
1208141,34,2806,90,7.2,False,0,1,0,0,0,0,0,72,61,0,1,1,5,5,1,0,0,1,0,1,0,0,0,0,0,0,0
1208141,34,19263,90,7.3,False,0,1,0,0,0,0,0,71,60,1,3,2,0,7,6,0,0,0,1,1,1,0,0,0,0,0,0
1208141,34,284492,90,7.2,False,0,2,0,0,0,0,0,67,60,2,6,0,0,15,8,1,0,2,1,0,0,0,0,0,0,0,0
1208141,34,18901,57,6.6,False,0,1,1,0,0,0,0,22,20,0,1,1,0,9,4,1,0,1,1,0,0,0,0,0,0,0,0
1208141,34,10135,84,7.5,True,0,0,0,0,0,0,0,59,53,4,1,1,1,11,4,1,1,0,1,3,0,0,0,0,0,0,0
1208141,34,1463,45,6.6,False,0,1,0,0,0,0,0,11,9,0,2,0,0,5,3,3,1,0,0,0,0,0,0,0,0,0,0
1208141,34,723,69,6.6,False,0,0,0,0,0,0,0,30,23,1,2,0,1,11,3,2,1,0,0,3,0,0,0,0,0,0,0
1208141,34,2864,90,6.6,False,1,4,0,0,0,0,0,22,19,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
1208141,34,138787,68,6.3,False,0,2,1,0,0,0,0,25,17,1,0,0,0,5,1,0,0,2,1,1,0,0,0,0,0,0,0
1208141,34,18778,45,6.9,False,0,0,0,0,0,0,0,20,17,0,1,0,0,6,3,1,1,0,1,0,0,0,0,0,0,0,0
1208141,34,31146,33,6.7,False,0,0,0,0,0,0,0,18,16,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,0
1208141,34,2939,22,6.3,False,0,0,0,0,0,0,0,2,2,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1208141,34,19163,21,6.5,False,0,0,0,0,0,0,0,11,7,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
1208141,34,169,13,6.3,False,0,0,0,0,0,0,0,13,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1208141,34,18886,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208141,34,18941,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208141,34,315237,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208141,34,2507,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208141,48,2997,90,7.2,False,0,0,0,0,0,0,2,45,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208141,48,18846,90,7.9,False,0,1,1,1,0,0,0,47,40,0,3,1,2,8,4,4,1,0,0,1,0,0,0,0,0,0,0
1208141,48,138,57,6.9,False,0,0,0,0,0,0,0,28,23,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1208141,48,18744,90,7.5,False,0,0,0,0,0,0,0,35,31,0,0,2,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0
1208141,48,2284,75,7.2,False,0,0,0,0,0,1,0,37,28,1,6,0,0,9,7,0,0,1,0,0,0,0,0,0,0,0,0
1208141,48,1243,90,7.5,False,0,2,2,1,0,0,0,30,22,0,0,2,0,10,5,1,0,0,1,0,0,0,0,0,0,0,0
1208141,48,1646,90,7.6,False,0,0,0,0,0,0,0,70,57,2,6,0,1,13,10,0,0,1,3,0,0,0,0,0,0,0,0
1208141,48,19428,90,8.3,True,0,4,2,0,0,1,0,34,32,3,2,0,2,16,9,7,4,1,2,0,0,0,0,0,0,0,0
1208141,48,930,84,6.9,False,0,2,1,0,0,0,0,50,45,0,0,0,0,5,2,2,1,1,1,0,0,0,0,0,0,0,0
1208141,48,37724,84,6.6,False,0,0,0,0,0,0,0,26,23,0,2,0,0,9,4,3,1,1,1,1,0,0,0,0,0,0,0
1208141,48,18819,75,6.7,False,0,0,0,0,0,0,0,15,12,0,1,0,0,11,5,1,0,0,2,4,0,0,0,0,0,0,0
1208141,48,1445,33,7.3,False,0,0,0,0,0,0,0,22,20,0,2,0,1,6,6,0,0,0,1,0,0,0,0,0,0,0,0
1208141,48,1231,15,6.6,False,0,0,0,0,0,0,0,11,10,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
1208141,48,18955,15,6.9,False,0,0,0,0,0,0,0,10,10,1,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1208141,48,2476,13,6.3,False,0,0,0,0,0,0,0,6,6,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
1208141,48,68466,13,6.6,False,0,0,0,0,0,0,0,9,9,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1208141,48,253,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208141,48,18813,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208141,48,404574,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208141,48,327730,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,50,617,90,5.9,False,0,0,0,0,3,0,2,31,27,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1299062,50,284230,90,6.6,False,0,0,0,0,0,0,0,87,78,0,1,0,2,10,6,0,0,0,4,0,0,0,0,0,0,0,0
1299062,50,5,90,6.7,False,0,0,0,0,0,0,0,84,81,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
1299062,50,18861,69,6.9,False,0,1,0,0,0,0,0,68,66,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0
1299062,50,129033,90,6.9,False,0,0,0,0,0,0,0,65,52,2,2,1,2,9,7,0,0,0,2,0,0,0,0,0,0,0,0
1299062,50,41621,90,8.0,False,0,1,1,0,0,1,0,54,48,3,5,1,3,12,8,3,1,0,2,2,0,0,0,0,0,0,0
1299062,50,633,68,7.6,False,0,1,1,1,0,0,0,75,70,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0
1299062,50,636,90,6.9,True,0,0,0,0,0,0,0,46,41,4,2,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0
1299062,50,631,69,7.5,False,0,1,1,0,0,0,0,40,37,2,0,0,0,7,4,5,4,1,0,0,0,0,0,0,0,0,0
1299062,50,19187,90,6.5,False,0,0,0,0,0,0,0,35,28,1,1,0,0,9,4,3,0,0,3,0,0,0,0,0,0,0,0
1299062,50,1100,90,9.3,False,0,5,4,2,0,0,0,13,10,0,0,0,1,6,4,1,1,1,2,1,0,0,1,0,1,0,0
1299062,50,629,22,6.5,False,0,1,1,0,0,0,0,13,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,50,404656,21,6.3,False,0,0,0,0,0,0,0,12,12,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1299062,50,158697,21,6.3,False,0,1,1,0,0,0,0,7,6,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0
1299062,50,25004,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,50,19197,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,50,627,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,50,567,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,50,278128,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,50,266657,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,50,382355,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,50,307123,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,209,36776,90,7.3,False,0,0,0,0,3,0,6,46,39,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0
1299062,209,37147,72,6.2,False,0,0,0,0,0,0,0,12,8,0,3,0,4,8,4,0,0,1,1,2,0,0,0,0,0,0,0
1299062,209,7529,90,6.6,False,0,0,0,0,0,0,0,47,41,0,3,2,1,8,3,0,0,2,0,0,0,0,0,0,0,0,0
1299062,209,30399,90,7.2,False,0,2,1,1,0,0,0,51,45,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1299062,209,37742,68,6.2,False,0,0,0,0,0,0,0,26,22,0,4,1,0,7,4,1,0,1,0,1,0,0,0,0,0,0,0
1299062,209,319517,68,6.7,False,0,0,0,0,0,0,0,11,8,1,1,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0
1299062,209,2901,89,7.0,False,0,0,0,0,0,0,0,44,40,1,3,0,1,7,3,0,0,2,0,2,0,0,0,0,0,0,0
1299062,209,38747,90,6.0,True,0,0,0,0,0,0,0,23,18,0,0,0,2,8,1,3,1,0,0,3,0,0,0,1,0,0,0
1299062,209,326067,90,7.2,False,0,1,1,1,0,0,0,17,13,1,0,0,1,9,2,1,0,1,1,1,0,0,0,0,0,0,0
1299062,209,6386,72,6.9,False,1,1,0,0,0,0,0,16,13,1,3,0,1,10,5,0,0,0,2,2,1,0,0,0,0,0,0
1299062,209,9363,90,6.9,False,0,2,1,0,0,1,0,33,21,2,2,0,0,8,5,4,1,0,1,0,0,0,0,0,0,0,0
1299062,209,328141,22,6.3,False,0,0,0,0,0,0,0,20,17,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1299062,209,129047,22,6.6,False,0,0,0,0,0,0,0,13,12,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
1299062,209,945,18,7.3,False,0,1,1,0,0,0,0,8,7,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1299062,209,94562,18,7.2,False,0,1,1,1,0,0,0,3,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
1299062,209,286595,1,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,209,37137,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,209,441274,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,209,297583,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,209,14394,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,209,425819,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299062,209,371230,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299063,228,56266,90,6.7,False,0,0,0,0,5,0,4,33,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299063,228,37148,90,5.6,False,0,0,0,0,0,0,0,51,48,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0
1299063,228,354753,90,5.6,False,0,0,0,0,0,0,0,71,68,0,1,1,0,3,1,0,0,0,0,1,1,0,0,1,0,0,0
1299063,228,265595,88,7.3,False,0,2,2,1,0,0,0,83,72,0,3,1,1,11,5,0,0,3,0,0,0,0,0,0,0,0,0
1299063,228,419582,90,6.9,False,0,1,1,0,0,0,0,34,28,2,3,0,0,8,5,2,1,0,1,0,0,0,0,0,0,0,0
1299063,228,7712,90,7.2,True,0,2,2,0,0,0,0,53,49,3,3,0,1,7,4,0,0,0,0,1,0,0,0,0,0,0,0
1299063,228,32960,78,6.6,False,0,1,1,0,0,0,0,45,41,0,5,0,1,8,5,1,0,1,0,1,0,0,0,0,0,0,0
1299063,228,51776,68,6.6,False,0,0,0,0,0,0,0,30,27,3,4,0,1,13,6,0,0,4,1,1,0,0,0,0,0,0,0
1299063,228,41112,88,7.7,False,0,1,0,0,0,1,0,29,27,2,2,0,0,6,6,2,2,0,2,0,0,0,0,0,0,0,0
1299063,228,37882,68,6.7,False,0,1,0,0,0,0,0,22,17,0,1,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0
1299063,228,18979,90,6.9,False,0,5,2,0,0,0,0,21,19,3,0,0,0,12,3,7,2,0,1,1,0,0,0,0,0,0,0
1299063,228,154839,22,6.7,False,0,1,0,0,0,0,0,7,4,0,1,0,0,4,2,1,0,1,1,0,0,0,0,0,0,0,0
1299063,228,41892,22,6.3,False,0,1,0,0,0,0,0,10,10,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
1299063,228,419916,12,6.9,False,0,1,0,0,0,0,0,5,4,2,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0
1299063,228,41179,2,0.0,False,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299063,228,400509,2,0.0,False,0,0,0,0,0,0,0,2,2,1,2,0,0,4,3,0,0,1,1,0,0,0,0,0,0,0,0
1299063,228,70336,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299063,228,330296,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299063,228,341700,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299063,228,423300,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299063,228,41099,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299063,228,430774,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299063,228,385674,0,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1299063,42,19465,90,8.2,False,0,0,0,0,1,0,8,22,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1299063,42,38746,90,7.7,False,0,0,0,0,0,1,0,60,57,3,1,0,2,6,4,2,2,1,1,1,0,0,0,0,0,0,0
1299063,42,22090,90,6.9,False,0,0,0,0,0,0,0,43,40,0,4,0,2,9,6,0,0,1,0,0,0,0,0,0,0,0,0
1299063,42,22224,84,7.3,False,0,1,1,1,0,0,0,29,25,0,2,1,2,4,2,0,0,1,0,1,0,0,0,0,0,0,0
1299063,42,157052,78,6.3,False,0,1,0,0,0,0,0,25,24,0,2,1,0,8,2,0,0,2,0,2,0,0,0,0,0,0,0
